SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
12,acb:cpu-error,"CPE250, CPE280, CP6000, CP800",Critical,CPU encountered fatal hardware or firmware issue.,Power cycle. Replace ACB if persists.,,
13,acb:wdma-error,"CPE250, CPE280, CP6000, CP800",Major,Watchdog/DMA error — internal watchdog or memory access failed.,Power cycle. Replace ACB if persists.,,
14,acb:self-test-fail,"CPE250, CPE280, CP6000, CP800",Critical,"ACB self-test failed (CLKERR, FLASHERR, RAMERR, PWRERR, GFCIERR).",Power cycle a few times. Contact engineering. Replace ACB.,,
15,acb:gfci-error,"CPE250, CPE280, CP6000, CP800",Critical,GFCI detection circuit failed its diagnostic check.,Power cycle. Replace ACB if persists.,,
16,acb:power-error,"CPE250, CPE280, CP6000, CP800",Critical,General internal power supply issue on ACB.,Power cycle. Replace ACB if persists.,,
17,acb:flash-error,"CPE250, CPE280, CP6000, CP800",Critical,Flash memory error — firmware storage may be corrupted.,Power cycle. Update firmware. Replace ACB if persists.,,
18,acb:ram-error,"CPE250, CPE280, CP6000, CP800",Critical,RAM error — working memory failed or corrupted.,Power cycle. Replace ACB if persists.,,
19,acb:clock-error,"CPE250, CPE280, CP6000, CP800",Critical,Internal timing circuit failed.,Power cycle. Replace ACB if persists.,,
20,acb:update-failed,"CPE250, CPE280, CP6000, CP800",Major,ACB firmware update failed.,Retry firmware update. Power cycle. Escalate if persists.,,
21,acb:can-comms-error,"CPE250, CPE280, CP6000, CP800",Critical,ACB lost CAN bus communication with Falcon/UCB. Latched fault.,Check CAN cable (Pin 10 & 11). Verify impedance (120Ω). Replace Falcon/UCB. Replace ACB if persists.,,
22,acb:weld-fault,"CPE250, CPE280, CP6000, CP800",Critical,Weld detection circuit not operating OR input voltage below 80V RMS. Does NOT mean relay is welded.,"Check input voltage. If below 200V, schedule site electrical check. Replace ACB if persists.",,
23,acb:power-plate-missing,"CPE250, CPE280, CP6000, CP800",Critical,Power plate ID pins have illegal values.,Check power plate alignment/seating. Verify blindmate. Replace power plate if persists.,,
24,acb:relay-stuck-open,"CPE250, CPE280, CP6000, CP800",Critical,Relay that should be closed is open. Register bit: RSO.,Power cycle. Replace ACB if doesn't clear.,,
25,acb:relay-stuck-closed,"CPE250, CPE280, CP6000, CP800",Critical,Relay that should be open is closed. Register bit: RSC. Latched fault.,Power cycle. Test with another vehicle. Replace ACB if persists.,,
26,acb:circuit-distribution-error,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Critical,Circuit distribution error.,Contact engineering.,,
27,acb:circuit-distribution-warning,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Minor,Informational alert about power distribution.,Monitor. No action unless accompanied by other faults.,,
28,acb:neutral-error,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,Neutral wire error detected.,Check neutral wiring. Contact engineering.,,
29,acb:voltage-balance,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,Voltage imbalance across phases.,Check AC input wiring and phase balance.,,
30,acb:power-plate-over-temp,"CPE250, CPE280, CP6000, CP800",Major,Power plate overheating at blindmate connection.,Check head unit seating. Inspect blindmate for debris. Replace power plate if persists.,,
31,acb:ac-over-current,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Critical,AC overcurrent — too much current in AC path.,Check wiring. Replace power plate/ACB if persists.,,
32,acb:dc-leakage,"CPE250, CPE280, CP6000, CP800",Critical,DC leakage current to ground — safety hazard.,Power cycle. Inspect wiring. Replace ACB if persists.,,
33,acb:dc-ground-fault,"CPE250, CPE280, CP6000, CP800",Critical,DC ground fault — direct current path to ground. Can trigger shunt trip (EU).,Power cycle. Inspect wiring. Replace ACB if persists.,,
34,acb:ac-leakage,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,AC leakage current detected.,Check wiring and RCCB.,,
35,acb:ac-input-phase-missing,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Critical,One or more AC input phases missing.,Check AC input wiring. Verify all phases present.,,
36,acb:ground-fault-nonrecoverable,"CPE250, CPE280, CP6000, CP800",Critical,Non-recoverable ground fault. Occurs as relay closes (NA only). Auto-clears when EV disconnects.,"Wait for EV disconnect. If recurring, replace ACB.",,
37,acb:relay-pin-invalid,"CPE250, CPE280, CP6000, CP800",Critical,Relay coil GPIO in unexpected state. Register bit: RLYP.,Power cycle. Replace ACB if doesn't clear.,,
38,acb:ground-monitor-error,"CPE250, CPE280, CP6000, CP800",Major,Ground monitoring circuit itself has failed.,Power cycle. Replace ACB if persists.,,
39,acb:ground-monitor-fault,"CPE250, CPE280, CP6000, CP800",Major,Ground monitoring detected actual ground issue.,Check station grounding. Power cycle. Replace ACB if persists.,,
40,acb:ground-fault-recoverable,"CPE250, CPE280, CP6000, CP800",Major,Recoverable ground fault — may clear after EV disconnects.,"Wait for session end. If recurring, investigate wiring.",,
41,acb:ground-fault,"CPE250, CPE280, CP6000, CP800",Critical,General ground fault — current flowing to ground unexpectedly.,Power cycle. Check wiring and grounding. Replace ACB if persists.,,
42,acb:shunt-trip,"CPE250, CPE280, CP6000 — EU only (NA has no RCCBs)",Critical,Shunt trip activated. If right port faults — entire station turns off.,Check RCCB. Rearm if tripped. Investigate root cause.,,
43,acb:ground-error,"CPE250, CPE280, CP6000, CP800",Critical,Differential current sensing circuit issue. Register bit: GFERR.,Power cycle a few times. RMA head unit if doesn't resolve. Falcon can be kept.,,
44,acb:ground-fault-error,"CPE250, CPE280, CP6000, CP800",Critical,Same as ground-error. Register bit: GFERR.,Power cycle a few times. RMA head unit if doesn't resolve. Falcon can be kept.,,
45,acc:over-current,"CPH50, CPF50, CT4000, CT4K",Critical,Station drawing more current than allowed.,Check breaker size and wiring. Power cycle. Replace ACC if persists.,,
46,acc:ac-over-current,"CPH50, CPF50, CT4000, CT4K",Critical,AC-specific overcurrent through charging circuit.,Check wiring and breaker. Replace ACC if persists.,,
47,acc:soft-ground-fault,"CPH50, CPF50, CT4000, CT4K",Major,Soft GFCI trip — minor ground fault.,"Usually self-clearing. If recurring, investigate wiring.",,
48,acc:hard-ground-fault,"CPH50, CPF50, CT4000, CT4K",Critical,Hard GFCI trip — significant ground fault.,Power cycle. Inspect wiring. Replace ACC if persists.,,
49,acc:ground-monitor-fault,"CPH50, CPF50, CT4000, CT4K",Critical,Ground monitoring detected fault.,Check station grounding. Power cycle. Replace ACC if persists.,,
50,acc:gfci-error,"CPH50, CPF50, CT4000, CT4K",Critical,GFCI self-test error.,Power cycle. Replace ACC if persists.,,
51,acc:relay-stuck-open,"CPH50, CPF50, CT4000, CT4K",Critical,Relay stuck open. Can't energize charging cable.,Power cycle. Replace ACC if persists.,,
52,acc:stack-overflow,"CPH50, CPF50, CT4000, CT4K",Critical,Stack overflow in ACC firmware.,Power cycle. Replace ACC if persists.,,
53,acc:relay-stuck-closed,"CPH50, CPF50, CT4000, CT4K",Critical,Relay stuck closed. Safety issue.,Power cycle. Replace ACC if persists.,,
54,acc:uart-comms-error,"CPH50, CPF50, CT4000, CT4K",Major,UART serial communication error.,Check cable connections. Power cycle. Replace ACC if persists.,,
55,acc:hard-ground-fault-error,"CPH50, CPF50, CT4000, CT4K",Critical,Hard ground fault detection circuit failed.,Power cycle. Replace ACC board.,,
56,acc:gfci-coil-error,"CPH50, CPF50, CT4000, CT4K",Critical,GFCI sensing coil failed.,Replace ACC board.,,
57,acc:current-coil-error,"CPH50, CPF50, CT4000, CT4K",Critical,Current sensing coil error.,Replace ACC board.,,
58,acc:voltage-fluctuation-error,"CPH50, CPF50, CT4000, CT4K",Major,Voltage fluctuations on AC input.,Check site power quality. Replace ACC if site power is OK.,,
59,acc:voltage-error,"CPH50, CPF50, CT4000, CT4K",Major,AC voltage out of acceptable range.,Check incoming voltage. Verify breaker and wiring.,,
60,acc:pilot-voltage-error,"CPH50, CPF50, CT4000, CT4K",Major,J1772 pilot signal voltage incorrect.,Check pilot circuit wiring. Test with another vehicle. Replace ACC if persists.,,
61,acc:statemachine-timeout-error,"CPH50, CPF50, CT4000, CT4K",Major,Charging state machine timed out.,"Power cycle. If recurring, escalate to engineering.",,
62,acc:selftest-timeout-error,"CPH50, CPF50, CT4000, CT4K",Major,ACC self-test didn't complete in time.,Retry self-test. Power cycle. Replace ACC if persists.,,
63,acc:frequency-error,"CPH50, CPF50, CT4000, CT4K",Major,AC input frequency out of range.,Check site power. Verify generator frequency if on backup power.,,
64,acc:gmerr-test-error,"CPH50, CPF50, CT4000, CT4K",Critical,Ground monitor error test failure. Often seen with zero energy dispense.,Resend configurations. Reboot. Replace ACC if persists.,,
65,acc:cpu-register-error,"CPH50, CPF50, CT4000, CT4K",Critical,CPU internal registers failed check.,Power cycle. Replace ACC board.,,
66,acc:program-counter-error,"CPH50, CPF50, CT4000, CT4K",Critical,CPU instruction pointer corrupted.,Power cycle. Replace ACC board.,,
67,acc:ram-error,"CPH50, CPF50, CT4000, CT4K",Critical,RAM error — working memory corrupted.,Power cycle. Replace ACC board.,,
68,acc:flash-error,"CPH50, CPF50, CT4000, CT4K",Critical,Flash memory error — firmware storage corrupted.,Power cycle. Update firmware. Replace ACC if persists.,,
69,acc:cpu-overtemp-warning,"CPH50, CPF50, CT4000, CT4K",Minor,CPU temp above warning but below critical.,Monitor. Check ventilation. Usually self-clearing.,,
70,acc:inputcable-overtemp-warning,"CPH50, CPF50, CT4000, CT4K",Minor,Input cable temp elevated but not critical.,Monitor. Ensure proper torque on terminals.,,
71,acc:outputcable-overtemp-warning,"CPH50, CPF50, CT4000, CT4K",Minor,Output cable temp elevated but not critical.,Monitor. Check cable for damage.,,
72,acc:cpu-over-temp,"CPH50, CPF50, CT4000, CT4K",Critical,CPU exceeded critical temperature. Charging stops.,Check ventilation. Power cycle. Replace ACC if persists.,,
73,acc:inputcable-over-temp,"CPH50, CPF50, CT4000, CT4K",Critical,Input cable exceeded critical temp. Potential fire risk.,Immediately check cable and connections. Inspect for loose terminals.,,
74,acc:outputcable-over-temp,"CPH50, CPF50, CT4000, CT4K",Critical,Output cable exceeded critical temp.,Check cable for damage. Check connector. Reduce charging current if possible.,,
75,acpm:comms-error,"CPE250, CPE280",Critical,AC Power Meter lost CAN communication.,Check CAN cabling to ACPM. Power cycle. Replace ACPM if persists.,,
76,acpm:firmware-update-error,"CPE250, CPE280",Major,ACPM firmware update failed.,Retry firmware update. Power cycle. Escalate if persists.,,
77,auxps:comms-error,"CPE250, CPE280",Critical,AuxPS lost CAN communication with DCC.,Check CAN cabling. Power cycle. Replace AuxPS if persists.,,
78,auxps:firmware-update-error,"CPE250, CPE280",Major,AuxPS firmware update failed.,Retry update. Power cycle. Escalate if persists.,,
79,auxps:fan1-speed-mismatch,"CPE250, CPE280",Minor,Fan 1 RPM doesn't match expected speed.,Check fan for obstructions. Replace fan if persists.,,
80,auxps:board-overtemp-warning,"CPE250, CPE280",Minor,Board temp above warning but below critical.,Monitor. Check ventilation and ambient temp.,,
81,auxps:board-overtemp-fault,"CPE250, CPE280",Major,Board temp reached critical level.,Check cooling system. Power cycle. Replace AuxPS if persists.,,
82,auxps:main-output-48v-undervoltage-warning,"CPE250, CPE280",Minor,Main 48V output below expected but still operational.,Monitor. May indicate degrading AuxPS.,,
83,auxps:main-output-48v-overvoltage-warning,"CPE250, CPE280",Minor,Main 48V output above expected.,Monitor. Replace AuxPS if voltage stays high.,,
84,auxps:ext-output-48v-undervoltage-warning,"CPE250, CPE280",Minor,External 48V rail below expected.,Monitor. Check load on external rail.,,
85,auxps:ext-output-48v-overvoltage-warning,"CPE250, CPE280",Minor,External 48V rail above expected.,Monitor. Replace AuxPS if persists.,,
86,auxps:main-output-overcurrent-warning,"CPE250, CPE280",Minor,Main output drawing more current than expected.,Check connected components. Monitor.,,
87,auxps:ext-output-overcurrent-shutdown,"CPE250, CPE280",Major,External output overcurrent caused shutdown.,Check what's connected to ext output. Power cycle. Replace AuxPS if persists.,,
88,auxps:ac-input-loss,"CPE250, CPE280",Critical,Lost AC input power — main AC feed interrupted.,Check breakers. Verify AC supply to station.,,
89,auxps:dc-input-loss,"CPE250, CPE280",Critical,Lost DC input — DC bus feeding AuxPS is down.,Check DC connections. Power cycle.,,
90,auxps:dc-input-undervoltage-warning,"CPE250, CPE280",Minor,DC input low but still operational.,Monitor. Check power source.,,
91,auxps:dc-input-overvoltage-warning,"CPE250, CPE280",Minor,DC input above expected range.,Monitor. Check power source.,,
92,auxps:ac-input-undervoltage-warning,"CPE250, CPE280",Minor,AC input low — site may have voltage drop.,Check AC supply voltage. Verify site wiring.,,
93,auxps:ac-input-overvoltage-warning,"CPE250, CPE280",Minor,AC input above expected — site voltage too high.,Check AC supply. May need utility investigation.,,
94,auxps:ntc-pcbtemp-0-open,"CPE250, CPE280",Minor,NTC sensor 0 open/disconnected.,Check sensor connection. Replace AuxPS if failed.,,
95,auxps:ntc-pcbtemp-1-open,"CPE250, CPE280",Minor,NTC sensor 1 open/disconnected.,Check sensor connection. Replace AuxPS if needed.,,
96,auxps:ntc-pcbtemp-2-open,"CPE250, CPE280",Minor,NTC sensor 2 open/disconnected.,Check sensor connection. Replace AuxPS if needed.,,
97,auxps:ntc-pcbtemp-0-shorted,"CPE250, CPE280",Minor,NTC sensor 0 shorted — false high-temp readings.,Replace AuxPS.,,
98,auxps:ntc-pcbtemp-1-shorted,"CPE250, CPE280",Minor,NTC sensor 1 shorted.,Replace AuxPS.,,
99,auxps:ntc-pcbtemp-2-shorted,"CPE250, CPE280",Minor,NTC sensor 2 shorted.,Replace AuxPS.,,
100,auxps:ntc-pcbtemp-0-mismatch,"CPE250, CPE280",Minor,NTC sensor 0 reading inconsistent.,Monitor. Replace AuxPS if readings unreliable.,,
101,auxps:ntc-pcbtemp-1-mismatch,"CPE250, CPE280",Minor,NTC sensor 1 reading inconsistent with expected values.,Monitor. Replace AuxPS if readings unreliable.,,
102,auxps:ntc-pcbtemp-2-mismatch,"CPE250, CPE280",Minor,NTC sensor 2 reading inconsistent with expected values.,Monitor. Replace AuxPS if readings unreliable.,,
103,auxps:power-cc-shorted,"CPE250, CPE280, EXPP",Critical,Cooling Controller (CC) power channel has a short circuit. AuxPS shut down that rail.,Power cycle. Check CC wiring. Replace AuxPS if persists.,,
104,auxps:power-ext-shorted,"CPE250, CPE280, EXPP",Critical,External power channel has a short circuit.,Power cycle. Check downstream devices. Replace AuxPS if persists.,,
105,auxps:power-pbc-shorted,"CPE250, CPE280, EXPP",Critical,PBC/DCC power channel has a short circuit.,Power cycle. Check DCC/PBC wiring. Replace AuxPS if persists.,,
106,auxps:temperature-fault,"CPE250, CPE280, EXPP",Major,AuxPS internal temperature has reached critical fault level. Output may be shut down.,Check cooling system and ambient temp. Power cycle. Replace AuxPS if persists.,,
107,auxps:power-cc-overcurrent,"CPE250, CPE280, EXPP",Major,Cooling Controller channel drawing overcurrent.,Check CC for shorts or excessive load. Power cycle. Replace CC or AuxPS if persists.,,
108,auxps:power-ext-overcurrent,"CPE250, CPE280, EXPP",Major,External channel drawing overcurrent.,Check what's connected to ext output. Power cycle. Replace AuxPS if persists.,,
109,auxps:power-pbc-overcurrent,"CPE250, CPE280, EXPP",Major,PBC/DCC channel drawing overcurrent.,Check DCC/PBC for shorts. Power cycle. Replace AuxPS if persists.,,
110,auxps:vin-overvoltage,"CPE250, CPE280, EXPP",Major,Input voltage to AuxPS is above safe operating range. Could damage components.,Check AC/DC input voltage. Verify site power. May need utility investigation.,,
111,auxps:vin-undervoltage,"CPE250, CPE280, EXPP",Major,Input voltage to AuxPS is below safe operating range. Station may not function properly.,Check AC/DC input voltage. Verify site wiring and breakers.,,
112,auxps:current-imbalance,"CPE250, CPE280, EXPP",Minor,Current imbalance detected between AuxPS output channels.,Monitor. Check connected loads. Replace AuxPS if imbalance is significant.,,
113,auxps:temperature-warning,"CPE250, CPE280, EXPP",Minor,AuxPS temperature is above warning threshold but below critical fault.,Monitor. Check ventilation and ambient temp.,,
114,auxps:humidity-warning,"CPE250, CPE280, EXPP",Minor,Internal humidity has exceeded warning threshold. Moisture may be present inside station.,"Monitor. Check door seals, cable glands. Inspect for water ingress.",,
115,auxps:fan-tach-error,"CPE250, CPE280, EXPP",Minor,AuxPS fan tachometer error — RPM reading cannot be obtained or is invalid.,Check fan connection. Replace AuxPS fan if persists.,,
116,auxps:fan-failure,"CPE250, CPE280, EXPP",Major,AuxPS fan has failed completely. No cooling airflow.,Replace AuxPS fan assembly. Replace AuxPS if fan is integrated.,,
117,auxps:heater-failure,"CPE250, CPE280, EXPP",Major,Internal heater has failed. Station may not operate in cold environments.,Replace AuxPS heater assembly or AuxPS module.,,
118,auxps:power-bad-cc,"CPE250, CPE280, EXPP",Major,Cooling Controller power rail is not good — voltage out of regulation.,Power cycle. Check CC connections. Replace AuxPS if persists.,,
119,auxps:power-bad-ext,"CPE250, CPE280, EXPP",Major,External power rail is not good — voltage out of regulation.,Power cycle. Check ext connections. Replace AuxPS if persists.,,
120,auxps:power-bad-pbc,"CPE250, CPE280, EXPP",Major,PBC/DCC power rail is not good — voltage out of regulation.,Power cycle. Check DCC connections. Replace AuxPS if persists.,,
121,auxps:power-cc-shutdown,"CPE250, CPE280, EXPP",Critical,AuxPS shut down the Cooling Controller power channel due to fault.,Power cycle. Check CC for shorts. Replace AuxPS if persists.,,
122,auxps:power-ext-shutdown,"CPE250, CPE280, EXPP",Critical,AuxPS shut down the external power channel.,Power cycle. Check downstream devices. Replace AuxPS if persists.,,
123,auxps:power-pbc-shutdown,"CPE250, CPE280, EXPP",Critical,AuxPS shut down the PBC/DCC power channel. Station controller has no power.,Power cycle. Check DCC wiring. Replace AuxPS if persists.,,
124,auxps:ch1-overcurrent,"CPE250, CPE280, EXPP",Major,AuxPS channel 1 overcurrent detected.,Check connected load on ch1. Power cycle. Replace AuxPS if persists.,,
125,auxps:ch2-overcurrent,"CPE250, CPE280, EXPP",Major,AuxPS channel 2 overcurrent detected.,Check connected load on ch2. Power cycle. Replace AuxPS if persists.,,
126,auxps:ch3-overcurrent,"CPE250, CPE280, EXPP",Major,AuxPS channel 3 overcurrent detected.,Check connected load on ch3. Power cycle. Replace AuxPS if persists.,,
127,auxps:can-comms-error,"CPE250, CPE280, EXPP",Critical,AuxPS lost CAN bus communication. Duplicate fault name for consistency across platforms.,Check CAN cabling. Power cycle. Replace AuxPS if persists.,,
128,cable:pos-contact-overtemp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Positive DC contact temperature above warning threshold. Cable connector is getting hot.,Monitor. Check connector for debris. Try different vehicle.,,
129,cable:neg-contact-overtemp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Negative DC contact temperature above warning threshold.,Monitor. Check connector for debris. Try different vehicle.,,
130,cable:pos-contact-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Positive DC contact exceeded critical temp — charging stopped for safety.,Inspect connector pins. Check for damage/corrosion. Replace cable if persists.,,
131,cable:neg-contact-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Negative DC contact exceeded critical temp — charging stopped.,Inspect connector pins. Check for damage/corrosion. Replace cable if persists.,,
132,cable:contact-temps-diff-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Temperature difference between pos and neg contacts exceeds warning threshold. One pin may have poor contact.,Check connector alignment. Test with different vehicle.,,
133,cable:pos-terminal-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Positive terminal temperature above warning. Connection inside station may be loose.,Check terminal torque inside contactor box.,,
134,cable:neg-terminal-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Negative terminal temperature above warning.,Check terminal torque inside contactor box.,,
135,cable:pos-terminal-temp-fault,"CPE250, CPE280, CP6000, EXPP",Major,Positive terminal reached fault-level temperature.,Inspect terminal connections. Re-torque. Replace cable if damaged.,,
136,cable:neg-terminal-temp-fault,"CPE250, CPE280, CP6000, EXPP",Major,Negative terminal reached fault-level temperature.,Inspect terminal connections. Re-torque. Replace cable if damaged.,,
137,cable:terminal-temps-diff-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Temperature difference between pos and neg terminals exceeds threshold.,Check both terminal connections. Re-torque.,,
138,cable:rtd-temp-0-open,"CPE250, CPE280, CP6000, EXPP",Minor,RTD temperature sensor 0 is open (disconnected). Reading unavailable.,Check sensor connection. Replace cable if sensor failed.,,
139,cable:rtd-temp-1-open,"CPE250, CPE280, CP6000, EXPP",Minor,RTD temperature sensor 1 is open.,Check sensor connection. Replace cable if needed.,,
140,cable:rtd-temp-0-shorted,"CPE250, CPE280, CP6000, EXPP",Minor,RTD sensor 0 shorted — giving false readings.,Replace cable.,,
141,cable:rtd-temp-1-shorted,"CPE250, CPE280, CP6000, EXPP",Minor,RTD sensor 1 shorted.,Replace cable.,,
142,cable:rtd-temp-2-open,"CPE250, CPE280, CP6000, EXPP",Minor,RTD sensor 2 open/disconnected.,Check sensor. Replace cable if needed.,,
143,cable:rtd-temp-2-shorted,"CPE250, CPE280, CP6000, EXPP",Minor,RTD sensor 2 shorted.,Replace cable.,,
144,cable:rtd-temp-3-open,"CPE250, CPE280, CP6000, EXPP",Minor,RTD sensor 3 open/disconnected.,Check sensor. Replace cable if needed.,,
145,cable:rtd-temp-3-shorted,"CPE250, CPE280, CP6000, EXPP",Minor,RTD sensor 3 shorted.,Replace cable.,,
146,cable:partial-plugin-detected,"CPE250, CPE280, CP6000, EXPP",Minor,Cable connector not fully inserted into vehicle inlet. Incomplete plug-in detected.,Instruct driver to fully insert connector. Check connector latch.,,
147,cable:pos-terminal-overtemp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Positive terminal overtemp warning — elevated but not critical.,Monitor. Check terminal connections.,,
148,cable:neg-terminal-overtemp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Negative terminal overtemp warning.,Monitor. Check terminal connections.,,
149,cable:pos-terminal-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Positive terminal exceeded critical temp — charging stopped.,Inspect terminal. Re-torque. Replace cable if persists.,,
150,cable:neg-terminal-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Negative terminal exceeded critical temp — charging stopped.,Inspect terminal. Re-torque. Replace cable if persists.,,
151,cable:pos-cable-overtemp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Positive cable body temp elevated but not critical.,Monitor. Reduce current if possible. Check cooling.,,
152,cable:neg-cable-overtemp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Negative cable body temp elevated.,Monitor. Reduce current if possible.,,
153,cable:pos-cable-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Positive cable body exceeded critical temp — charging stopped.,Inspect cable for damage. Check cooling. Replace cable if persists.,,
154,cable:neg-cable-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Negative cable body exceeded critical temp.,Inspect cable for damage. Check cooling. Replace cable if persists.,,
155,cable:rtd-data-stale-fault,"CPE250, CPE280, CP6000, EXPP",Major,RTD temperature data is stale — sensor not reporting fresh readings. Safety concern.,Check cable sensor connections. Replace cable if persists.,,
156,cable:can-comms-unstable,"CPE250, CPE280, CP6000, EXPP",Minor,CAN communication with cable controller is intermittent.,Check CAN cabling. Power cycle. Monitor.,,
157,cable:can-data-stale,"CPE250, CPE280, CP6000, EXPP",Major,CAN data from cable is stale — cable controller not sending updates.,Check CAN cabling. Power cycle. Replace cable controller if persists.,,
158,cable:data-invalid,"CPE250, CPE280, CP6000, EXPP",Major,Cable temperature data is invalid — readings are out of expected range.,Check cable sensor connections. Replace cable if persists.,,
159,cable:std-200A-too-hot,"CPE250, CPE280",Major,Standard 200A cable is too hot — approaching thermal limit at 200A charging rate.,Reduce current. Check cable and connector. Check cooling system.,,
160,cable:contact-temps-diff-over-4,"CPE250, CPE280, CP6000, EXPP",Minor,Contact temperature difference exceeds 4°C. One pin may have poor contact.,Check connector. Test with different vehicle.,,
161,cable:rtd-fault,"CPE250, CPE280, CP6000, EXPP",Major,General RTD sensor fault. One or more cable temp sensors have failed.,Check cable sensors. Replace cable if persists.,,
162,CableTempAlert,CPE250 (legacy),Critical,Cable temperature has reached alert level — charging stopped. Legacy fault code 905.,Check cable for damage. Try different vehicle. Escalate to #cpe250_os_support.,,
163,CableTempWarning,CPE250 (legacy),Major,Cable temperature near max threshold — charging speed reduced. Legacy fault code 904.,Certain vehicles cause connector heating. Try different vehicle. Escalate if persists on multiple vehicles.,,
164,ProximityError,CPE250 (legacy),Major,Proximity pilot (PP) signal error — cable not properly detected or proximity circuit fault.,Check connector seating. Check PP circuit wiring. Replace cable if persists.,,
165,CableIsolationFailure,CPE250 (legacy),Critical,Cable insulation resistance test failed — potential safety hazard.,Inspect cable for physical damage. Megger test cable. Replace cable if failed.,,
166,cable:temp-alert,"CPE250, CPE280, CP6000, EXPP",Critical,Cable temperature alert — exceeded max safe temp. Charging stopped immediately.,Inspect cable and connector. Check cooling. Replace cable if persists.,,
167,cable:temp-warning,"CPE250, CPE280, CP6000, EXPP",Major,Cable temperature warning — approaching max threshold. Charging speed may be reduced (de-rated).,Monitor. Check connector contact. Try different vehicle.,,
168,cable:thermal-derate,"CPE250, CPE280, CP6000, EXPP",Minor,Cable temperature caused station to reduce output power. Self-protecting by limiting current.,Check cable condition. Check cooling system. Usually self-clears when temp drops.,,
169,cable:cable-cut,"CPE250, CPE280, CP6000, EXPP",Critical,Cable cut detected. Physical disconnection or break in charging cable. Lockout fault — station blocked until cleared by technician.,Inspect cable. Check for vandalism. Station needs replacement or cable repair. Clear lockout via installer app or console.,,
170,cablectrl:comms-error,"CPE250, CPE280, CP6000, EXPP",Critical,Cable controller lost communication with station controller. CAN or Ethernet link failure.,Check CAN/Ethernet cabling to cable controller. Power cycle. Replace cable controller if persists.,,
